company,description,experience,location,salary,technologies,title
Vimmi Communications Ltd,"<div class=""b-typo vacancy-section"">
				<p>Requirements:<br><br>At least 4+ years of experience with Python programming language, including a strong understanding of object-oriented programming (OOP);<br>∙ Experience with containerization technologies such as Kubernetes (will be a plus) and experience with at least one of the following frameworks: Tornado, AIOHTTP, Django, Flask, FastAPI;<br>∙ knowledge of relational and/or NoSQL databases, such as Postgres, Cassandra, MongoDB, and experience working with ORMs;<br>∙ Experience with RESTful API design and development;<br>∙ Experience with Linux operating systems and familiarity with the command line interface;<br>∙ Experience with unit testing and debugging, and familiarity with Agile methodologies;<br>∙ Upper-Intermediate English language skills and good communication skills, both written and verbal.<br><br>What we offer:<br><br>∙ Career planning, regular performance review;<br>∙ Paid leave days;<br>∙ Free medical insurance;<br>∙ Sports reimbursement according to Company HR Policies;<br>∙ English lessons, speaking club;<br>∙ The company provides support in the maintenance of all documentation for private entrepreneurs.</p>
			</div>",3-5,"Вінниця,віддалено",,"python,mongodb,aiohttp,django,nosql,linux,flask,kubernetes,agile",Python Developer (Middle+)
Interactive Online Technologies,"<div class=""b-typo vacancy-section"">
				<p>We are a product IT company with over 10 years of product development experience.</p><p>Now we have launched the development of a new product. In this regard, we are looking for a Python<b> Developer/Data Scientist</b> for full-time, remote work to work together to create progressive products.</p><p>We value professionalism, proactivity and responsibility for yourself, your decisions and your work results. We offer you inspiring challenges and complex tasks within an ambitious product without unnecessary bureaucracy.</p><p><b>Expectations from the candidate:</b></p><ul><li>Python development experience from 3 years;</li><li>WEB development experience (REST API);</li><li>experience with Pandas, Numpy for working with data;</li><li>practical experience with <nobr>ML-tasks</nobr> from a year within a real project;</li><li>experience with NLP and CNN tasks. Experience with model deployment;</li><li>experience with TensorFlow, keras, hugging face;</li><li>experience with SQL Databases;</li><li>knowledge of GIT, TCP, IP, HTTP(s), XML, JSON, AJAX, UML, basic principles of software production lifecycle and known development methodologies;</li><li>preferably knowledge and experience in JavaScript;</li><li>preferably experience with: PyTorch, SciPy, OpenCV, Matplotlib, LangChain;</li><li>preferably experience with Docker, NoSQL.</li></ul><p><b>Responsibilities:</b></p><ul><li>Participation in the design and development of the chatbot project;</li><li>participation in the design and development of the image generation project;</li><li>participation in the design and development of the “smart” translator project.</li></ul><p><b>Job Requirements:</b></p><ul><li>Remote work in a friendly and comfortable team of professional developers WITHOUT the oppression of marketers;</li><li>On-time salary starting from $5500 gross;</li><li>2 weeks paid holiday a year;</li><li>Paid sick days;</li><li>Paid time off on major Slavic holidays;</li><li>Opportunity to attend professional courses at company’s expense;</li><li>Working week: Sunday-Thursday, 10 a.m. to 7 p.m. Israel time. </li></ul><p><b>We would love to give you all the details about the position! Send your CV now and we will contact you!</b></p><p><b>!!! IMPORTANT TO KNOW !!!</b></p><p><b>We have a multinational development team, which was formed more than 9 years ago. Our team includes people living in different CIS countries, so the language of communication is russian. But the company and all our employees are strongly opposed to russia’s invasion of Ukraine. The company provides humanitarian aid to Ukraine and helps our employees living there.</b></p><p><b>We believe in the victory of Ukraine! Glory to Ukraine! Glory to ZSU! Glory to the Ukrainian nation!</b></p>
			</div>",3-5,віддалено,від 5500,"python,rest api,docker,nosql,javascript,pandas,numpy,git",Python Developer/Data Scientist
Digis,"<div class=""b-typo vacancy-section"">
				<p>Digis is seeking a skilled and motivated <strong>Senior Full-Stack (Python + TypeScript) </strong><b>Developer</b> to join our remote team.<br><br></p><p><b>About the project:<br></b>The product is close to SaaS in concept, a set of technologies and tools that allows businesses to enter marketplaces for used goods like Craigslist. Right now, these marketplaces are mostly private individuals. We emphasized that this is not a classic standalone product, but a set of tools like Chrome extension, different no-code solutions with automation, etc. There is a pilot version, which has been successfully released, and there is a big partner in the US.<br><br><b>What about requirements?</b></p><ul><li>5+ years of general experience;</li><li>At least 2 years with Python;</li><li>1 year with Javascript or Typescript;</li><li>Experience with low-code platforms (like <a href=""http://make.com"" target=""_blank"">make.com</a> or AirTable);</li><li>Willingness to work on Chrome extension;</li><li>В2+ English level;<br><br></li></ul><p><b>Project advantages:</b></p><ul><li>A stable and long-term project that has received the support of large investors from the US;</li><li>An interesting domain; </li><li>Opportunity to learn new technologies and implement/propose different solutions and technologies for implementation;</li><li>Potential to become something big in the future.</li></ul><p>If you’re interested in this opportunity, please let me know and I’ll provide more information. I look forward to hearing back from you!</p>
			</div>",3-5,віддалено,,"python,javascript",Senior Full Stack (Python + TypeScript) Developer
Quintagroup,"<div class=""b-typo vacancy-section"">
				<p>Join our team at Quintagroup as an Software Development Engineer in Test and play a pivotal role in maintaining the highest quality standards for our innovative software solutions. We are looking for a meticulous and proactive SDET Specialist with a strong Python background to lead our efforts in automating testing processes and ensuring our software products are defect-free and aligned with user expectations.</p><p><strong>Key Responsibilities:</strong></p><ul><li><strong>Test Automation Development:</strong> Design, develop, and maintain automated test scripts using Python. Your expertise will be crucial in creating robust, scalable, and efficient test automation frameworks that support our development cycles.</li><li><strong>Quality Assurance Strategy:</strong> Contribute to the development and implementation of comprehensive QA strategies that ensure the reliability, usability, and performance of our software products.</li><li><strong>Continuous Integration and Testing:</strong> Integrate automated tests with continuous integration/continuous deployment (CI/CD) pipelines to enable frequent and efficient testing cycles. Your role will be instrumental in ensuring that new code changes meet quality standards before they are deployed.</li><li><strong>Issue Resolution:</strong> Work closely with the development team to identify, document, and track bugs. Facilitate the problem-solving process, ensuring issues are resolved in a timely and effective manner.</li><li><strong>Performance and Security Testing:</strong> Execute and manage automated performance and security tests, ensuring our software meets strict industry standards for speed, scalability, and security.</li></ul><p><strong>Requirements:</strong></p><ul><li><strong>Proven Python Proficiency:</strong> Strong programming skills in Python with experience in developing automation tools and frameworks.</li><li><strong>Experience in Automated Testing:</strong> At least 3 years of experience in automated testing, with a demonstrated ability to troubleshoot and resolve complex issues.</li><li><strong>Familiarity with Testing Frameworks:</strong> Experience with popular testing frameworks and tools such as Playwright, Selenium, PyTest, or Robot Framework.</li><li><strong>Knowledge of CI/CD Systems:</strong> Understanding of continuous integration and deployment processes, and experience with tools like Jenkins, GitLab CI, or Travis CI.</li><li><strong>Analytical Skills:</strong> Excellent problem-solving skills and the ability to think algorithmically.</li><li><strong>English Proficiency:</strong> Upper-intermediate level of English required, both written and spoken, to ensure effective communication across our global teams.</li></ul><p><strong>Why Quintagroup?</strong></p><ul><li><strong>Impactful Work:</strong> Your efforts will directly impact the quality and success of our products, ensuring they not only meet but exceed our customers’ expectations.</li><li><strong>Innovative Environment:</strong> Immerse yourself in a culture of innovation where you can constantly refine your skills and work on the cutting edge of technology.</li><li><strong>Career Growth:</strong> We support professional development and provide numerous opportunities for you to grow within the company and enhance your skill set.</li><li><strong>Supportive Team Culture:</strong> Join a collaborative and supportive team that values your input and encourages sharing of ideas and best practices.</li></ul><p><iframe width=""640"" height=""360"" loading=""lazy"" src=""https://www.youtube.com/embed/_7i-WoWmH_U"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe></p><p><strong>Benefits Include:</strong></p><ul><li>Competitive salary and bonus structure</li><li>Comprehensive health benefits</li><li>Flexible working hours and remote work opportunities</li><li>Access to ongoing training and professional development</li></ul>
			</div>",3-5,"Львів,віддалено",,"python,ci/cd,git,scala",Software Development Engineer in Test (Python)
AB Games,"<div class=""b-typo vacancy-section"">
				<p>Для внутрішнього проєкта шукаємо <strong>Full Stack Developer (Senior)</strong> зі знанням <strong>Python + JavaScript. </strong>Бажаний<strong> </strong>досвід розробки плагінів для <strong>Photoshop</strong>.</p><ul><li>Фріланс, короткострокова задача.</li><li>Погодинна оплата (узгоджується за домовленістю).</li></ul><p><strong>Технологічний стек:</strong></p><ul><li>Python;</li><li>JavaScript;</li><li>Досвід інтеграції з API (бажано з AI-інструментами);</li><li>Знання Photoshop. </li></ul><p><strong>Задача:</strong> Розробити плагін для Фотошопу для інтеграції з AI інструментом</p>
			</div>",3-5,віддалено,,"python,javascript","Full Stack Developer (freelance, hourly rate)"
Incora,"<div class=""b-typo vacancy-section"">
				<p>We are looking for a skilled <strong>Middle</strong> <strong>Python Developer</strong> to join our team and develop innovative projects using Python, Django, and different databases.</p><p>Ideally, you need to have a passion for programming, great soft skills, full of ideas, proactiveness and good English. Also, you should have at least 2 years of proven commercial experience.<br><br></p><h3>Requirements</h3><ul><li>A strong skill set within Python 3 and the Python 3 ecosystem</li><li>Experience with frameworks (Flask or Django)</li><li>Strong knowledge of databases (e.g. PostgreSQL, MySQL, MongoDB)</li><li>Experience with writing and implementing APIs (e.g. REST API)</li><li>Knowledge of microservice architecture</li><li>Understanding of AI/ML principles and practical experience with AI tools</li><li>Experience with AWS</li><li>English at least Upper-intermediate level (written, spoken)</li><li>Experience with 2 or more commercial projects in production</li></ul><h3>Responsibilities</h3><ul><li>Create reusable, effective and scalable code</li><li>Work closely with customers to understand their needs and help with providing requirements</li><li>Contribute to architecture decisions and communicate closely with other engineers;</li><li>Provide realistic estimates for planned work;</li><li>Integrate AI/ML models into applications and optimize performance</li><li>Developing back-end components to improve responsiveness and overall performance</li><li>Learn and grow as an all-around professional</li></ul><p><strong>We propose:</strong> <br><br>— IT Club membership<br>— 18 days of vacation + 8 days of paid state holidays<br>— Health insurance<br>— Compensation for language trainings<br>— Compensation for educational courses, training, and certificates<br>— Compensation for sport activities<br>— Mentorship program<br>— Employee recognition program with awards<br>— Running club<br>— Reading club<br>— Cozy and pet-friendly office<br>— Weekly sweets &amp; fruits office days<br>— Corporate bookshelf<br>— Office relax zone with PS4, VR, table games, table tennis, aero hockey, mini football table, and gymnastic ladder.</p><p><br>Are you interested? We would be glad to receive your CV or resume.<br>Welcome to Incora!</p>
			</div>",3-5,"Львів,віддалено",,"python,rest api,mongodb,django,aws,flask,postgresql,scala,mysql",Middle/Middle Strong Python Developer + AI
Computools,"<div class=""b-typo vacancy-section"">
				<p><strong>Middle Machine Learning Engineer?</strong> Computools шукає саме тебе! Наша компанія співпрацює у форматі outsource та outstaff з клієнтами по всьому світу. Цікаві проєкти вже очікують на тебе! Energy Equipment &amp; Services, Banks, Capital Markets, Insurance, Healthcare Providers &amp; Services, Specialty Retail, Education Services, Ground, Marine Transportation, Textiles, Apparel &amp; Luxury Goods, Hotels, Restaurants &amp; Leisure, Media — основні галузі, для яких ти будеш розробляти якісні рішення. Впевнені, що саме твої навички зроблять нашу команду ще сильнішою, а ми зі свого боку будемо надавати можливості для твого професійного розвитку.</p><p><strong>ЩО МИ ОЧІКУЄМО:</strong></p><ul><li>Досвід роботи на позиції Machine Learning інженера від 2 років;</li><li>Досвід роботи з наступними технологіями/бібліотеками: Tensorflow, PyTorch, numpy, pandas, scikit-learn, Matplotlib, Dash, Apache Spark, Apache Kafka, Kubernetes, AWS/GCP/Azure, Label Studio (або альтернативи).</li><li>Впевнені знання Bash та GIT;</li><li>Базове розуміння ETL процесів та їх забезпечення;</li><li>Вища технічна освіта.</li></ul><p><strong>Перевагою буде</strong>:</p><ul><li>Досвід роботи з будь-яким з популярних веб фреймворків: Dash/Django/Flask/FastAPI/тощо.</li></ul><p><strong>Знання мов:<br></strong></p><ul><li>Англійська Upper-Intermediate.</li></ul><p><strong>ПРОПОНУЄМО:</strong></p><p><strong>Роботу в команді професіоналів:</strong></p><ul><li>Сильні технічні фахівці, які готові допомогти у вирішенні завдань.</li></ul><p><strong>Постійний професійний розвиток:</strong></p><ul><li>Мітинги 1 на 1 та фінансові мітинги;</li><li>Індивідуальний план розвитку, що допомагає досягати бажаних цілей на кар’єрному шляху;</li><li>Можливість змінювати та розширювати стек технологій всередині компанії;</li><li>Оплачувані конференції та сертифікації;</li><li>Лекції та воркшопи;</li><li>Бази знань усередині компанії.</li></ul><p><strong>Удосконалення англійської мови:</strong></p><ul><li>Курси розмовної англійської мови.</li></ul><p><strong>Турботу про співробітників:</strong></p><ul><li>Гнучкий графік роботи;</li><li>Можливість працювати віддалено з технікою та меблями, які може надати компанія для комфортної роботи;</li><li>24 календарні дні відпустки та оплачуваний лікарняний;</li><li>Фінансова підтримка та подарунки на важливі події.</li></ul><p><b>ОСНОВНІ ОБОВ’ЯЗКИ:</b></p><ul><li>Робити оцінку завдання (estimate), виданих Project Manager (PM) або Technology Lead (TL);</li><li>Виконувати завдання від PM або TL у рамках зробленої оцінки;</li><li>Участь у SCRUM процесі;</li><li>Участь у проєктуванні проєкту;</li><li>Проводити технічні дослідження;</li><li>Вести технічну проєктну документацію;</li><li>Заповнювати звітність;</li><li>Комунікувати з клієнтами;</li><li>Працювати над покращеннями на поточному проєкті.</li></ul><p><b>Дізнайтеся більше про нашу <a href=""https://careers.computools.ua/"" target=""_blank"">компанію</a> та переваги роботи з нами.</b></p>
			</div>",3-5,віддалено,,"kafka,django,pandas,numpy,aws,apache,flask,kubernetes,git",Middle Machine Learning Engineer
IGIS,"<div class=""b-typo vacancy-section"">
				<h3><b>Company Description:</b></h3><p>At Ceres, we’re building the world’s most advanced data analytics platform for agriculture. We believe the future of agriculture depends on building the right tools to help farmers, insurers, lenders, and sustainability partners make the most of their limited resources. We are a science-driven organization with a vision of sustainable agriculture that works for farmers.</p><h3><b>The Role:</b></h3><p>We are seeking a backend engineer with 3+ years of software engineering experience who can help us maintain and build internal tooling for our global team of GIS analysts that allows us to scale our existing business and integrate new products into the product delivery pipeline. As a member of our team, you’ll:</p><ul><li>Work closely with our analysts to understand and implement their requested changes to existing geospatial workflows/pipelines </li><li>Identify opportunities to streamline processes and make them faster and more scalable</li><li>Cooperate with other engineers to ensure that you’re implementing tools that will function well within a complex and integrated environment of automated data processing pipelines, human-in-the-loop imagery processing, and all the necessary data management tools that enable us to acquire and process tens of thousands of acres of aerial imagery each day</li><li>Collaborate with our scientists to help bring their proof-of-concept analyses to life by fully operationalizing them and ensuring we can deliver at scale</li><li>Monitor and troubleshoot processing issues </li><li>Write clean, readable, code that is maintainable over time</li></ul><h3><b>Skills:</b></h3><p><i>Required Skills</i></p><ul><li>Strong knowledge of Python</li><li>Proficiency with backend frameworks (Django preferred)</li><li>Proficiency in front-end technologies, particularly React</li><li>Strong communication skills — you’ll be collaborating with a variety of teams with differing technical backgrounds</li><li>English language competency</li></ul><p><i>Nice to Have</i></p><ul><li>Familiarity with geospatial tools (QGIS, python-based raster processing libraries such as rasterio and geopandas)</li><li>Experience with cloud platforms (AWS, Google Cloud)</li></ul><h3><b>Employee benefits:</b></h3><ul><li>Flexible schedule: <nobr>8-hour</nobr> work day with opportunity to work remotely</li><li>Comfortable office within walking distance of a metro station</li><li>Work closely with an international team</li><li>Registration in the format within DiiaCity (Gig-contract)</li><li>Free health insurance after a probationary period</li></ul>
			</div>",5plus,"Київ,віддалено",від 3000,"python,django,react,pandas,aws,scala",Senior Backend Engineer
Ampelfy,"<div class=""b-typo vacancy-section"">
				<p>We are an IT services company based out of San Francisco, USA. ​​We build and acquihire expert engineering and data science teams to help our clients meet their business needs and solve their operational challenges.</p><p> </p><p>We are looking for a talented Senior Software Engineer with an interest in building agentic applications using large language models (LLMs). In this role, you will be joining a team of engineers tasked with empowering local businesses by creating AI agents that efficiently handle customer interactions to optimize operations and reclaim valuable time. If you are passionate about tackling complex challenges, thrive in a fast-paced, iterative environment, and have a knack for breaking down intricate problems, we think you’ll be a great fit.</p><p><br> </p><p><strong>What you will be doing:</strong></p><ul><li>Develop and deploy advanced agentic applications powered by large language models to help local businesses automate interactions and manage leads.</li><li>Drive the entire lifecycle of AI agent development, from conception and design to implementation and maintenance.</li><li>Engage in rapid prototyping and iterative development to refine AI solutions based on real-world performance and feedback.</li><li>Implement monitoring and evaluation systems to track the effectiveness of AI agents in production, ensuring high reliability and user satisfaction.</li><li>Contribute to a culture of innovation by staying current with industry trends in generative AI and applying cutting-edge research to practical business solutions.</li></ul><p><br> </p><p><strong>What you should have:</strong></p><ul><li>5+ years of hands-on programming experience with at least one modern language such as Python, Go, or Elixir.</li><li>Hand-on experience training, fine-tuning, and/or deploying LLM applications in production environments.</li><li>Strong analytical and problem-solving skills, with a proven ability to decompose complex issues and drive innovation in a highly iterative development process.</li><li>Excellent communication skills and the ability to work effectively in a team setting.</li><li>Ability to solve ambiguous problems and thrive in a fast-paced environment.</li></ul>
			</div>",5plus,віддалено,3000–5000,python,Senior Python Engineer
Koinly,"<div class=""b-typo vacancy-section"">
				<p>Aesthetics 360 is a pioneering startup in the aesthetics industry, dedicated to connecting patients with top-tier providers through innovative technology. Our platform enhances patient education, supports marketing efforts, and streamlines processes like scheduling and consultations. </p><p>We are seeking a highly skilled and experienced Senior Python Developer to join our innovative team in building a core backend application for a groundbreaking MedTech startup. As a key member of our development team, you will play a crucial role in architecting and developing a cutting-edge application from the ground up.</p><p> </p><p>• Develop, test, and maintain high-quality software using Python.</p><p>• Design and implement APIs using FastAPI.</p><p>• Work with Pydantic for data validation and serialization.</p><p>• Use SQLAlchemy for ORM and database interactions.</p><p>• Manage PostgreSQL databases effectively.</p><p>• Develop and deploy serverless applications.</p><p>• Design, implement, and manage AWS-based cloud infrastructure.</p><p> • Implement infrastructure as code using tools like Terraform or CloudFormation.</p><p>• Monitor and optimize system performance and costs in AWS environments.</p><p>• Collaborate with cross-functional teams to define, design, and ship new features.</p><p> </p><p><strong>Requirements:</strong></p><p> </p><p>• Strong experience with Python and related frameworks </p><p>• Proficiency in PostgreSQL and database management.</p><p>• Experience with AWS services, including Lambda, Cognito, ECS, API Gateway, Fargate, RDS, EC2, S3, and CloudWatch.</p><p>• Experience with serverless architecture and microservices.</p><p>• Solid understanding of infrastructure as code principles and tools (e.g., Terraform, CloudFormation).</p><p>• Proficiency in containerization technologies such as Docker and container orchestration with Kubernetes or ECS.</p><p>• Experience with monitoring and logging tools in cloud environments.</p><p>• Solid understanding of software development best practices, including code reviews, unit testing, and version control.</p><p>• Excellent problem-solving skills and attention to detail.</p><p>• Ability to work in a collaborative team environment.</p><p>• Strong communication skills in English, with a proficiency level of B2 or higher.</p><p> </p><p><strong>Preferred qualifications:</strong></p><p><strong></strong></p><p>• AWS certifications (e.g., AWS Certified DevOps Engineer, AWS Certified Solutions Architect).</p><p>• Experience with configuration management tools </p><p>• Knowledge of security best practices in cloud environments.</p><p>• Familiarity with AI/ML deployment workflows.</p><p>Familiar with CI/CD pipelines for automated testing and deployment.</p><p>• Proven experience in DevOps practices and tools (e.g., Jenkins, GitLab CI, GitHub Actions).</p><p> </p><p>We offer a unique opportunity to be part of a fully-funded startup with a proven track record of success in the MedTech space. Our team is composed of industry experts, and we are building a distributed team of top talent. This is a long-term opportunity for growth and innovation in a dynamic and exciting environment.</p><p> </p><p>The core development, product, and project management team is based in Ukraine, while the Product Owners and Managers are located in the United States. </p>
			</div>",5plus,віддалено,4000–5000,"python,docker,aws,sqlalchemy,postgresql,kubernetes,ci/cd,git,microservices",Senior Python Developer (AWS Infrastructure)
StartupSoft,"<div class=""b-typo vacancy-section"">
				<p><strong>WE ARE</strong>: StartupSoft connects top Ukrainian engineers with world-class startups from Silicon Valley and EU. Our developers work directly on the product as an integral part of the startup team.<br><br><strong>PROJECT:</strong></p><p><a href=""https://www.urbansdk.com/"" target=""_blank"">Urban SDK</a>, a Techstars company, is a next-generation planning tool that helps smart cities transform mobility, transportation, sustainability, and safety operations with real-time location analytics. They connect public agencies, policy makers, and the community with better data to make more informed policy and budgeting decisions. They enable customers to quickly gather, analyze, and visualize performance indicators to make decisions with a higher degree of confidence.<br>It’s a mobility analytics platform the main goal of which is to visualize data coming from the physical world (from IoT sensors, smartphones, etc).<br><br><strong>PROJECT STACK:</strong> React, Python, AWS;<br><br><strong>PROJECT STAGE:</strong> founded in 2018;<br><br><strong>TEAM: </strong>up to 23 people, 1 engineer from our side;<br><br><strong>REQUIREMENTS:</strong></p><ul><li>Bachelor’s or Master’s degree in Computer Science, Engineering, or a related field.</li><li>Minimum of 8 years of experience in full stack development with a strong focus on frontend and backend technologies.</li></ul><p>Must-have:</p><ul><li>Expertise in Python with hands-on experience in Flask, SQLAlchemy, and data processing using Pandas, GeoPandas, and PySpark.</li><li>Proven experience in designing and developing workflow tasking systems, including task automation and management.</li><li>Experience with big data technologies, particularly Apache Spark (PySpark), and handling large-scale data processing.</li><li>Extensive experience with PostgreSQL and PostGIS for geospatial data management.</li><li>Familiarity with shapefiles and their integration into applications.</li><li>Strong problem-solving abilities, excellent communication skills, and the ability to work effectively in a team environment.</li></ul><p>Nice to have:</p><ul><li>Proficiency in React and experience with libraries such as Mapbox and Mapbox-GL.</li><li>Experience with Docker and Kubernetes.</li><li>Experience with AWS and cloud service management.</li><li>Knowledge of RabbitMQ for messaging and task queuing</li></ul><p><strong>RESPONSIBILITIES:</strong></p><ul><li>Develop and maintain backend services using Python, leveraging Flask for web services, SQLAlchemy for ORM, and other Python packages like GeoPandas, Pandas, and PySpark for data processing and analysis.</li><li>Design and develop workflow-tasking systems to automate and manage complex workflows to build analytics based on anomalies or thresholds.</li><li>Work with csv,geojson, shapefiles and other geospatial data, ensuring proper handling and integration within our applications.</li><li>Utilize big data technologies such as Apache Spark (via PySpark) to process and analyze large datasets. Implement data processing pipelines to handle large file processing.</li><li>Design and optimize flat file data lakes for efficient data management and retrieval in big data contexts.</li><li>Utilize Docker and Kubernetes for containerization and orchestration in our CI/CD pipelines.</li><li>Manage and deploy applications on AWS, leveraging cloud services to enhance application scalability and performance.</li><li>Collaborate with the DevOps team to maintain and enhance infrastructure, ensuring efficient and reliable application operations.</li><li>Work closely with cross-functional teams including UX/UI designers, data scientists, and other developers to deliver high-quality software solutions.</li><li>Provide technical leadership and mentorship to junior developers, fostering a collaborative and innovative work environment.</li></ul><p><strong>YOU WILL GET:</strong></p><ul><li>Competitive financial reward and other social benefits;</li><li>Possibility to work with minor supervision and low-bureaucracy;</li><li>Flexible schedule and friendly working atmosphere;</li><li>Tight-knit team with an inclusive and transparent culture.</li></ul>
			</div>",5plus,"Львів,Тернопіль",,"python,rabbitmq,docker,react,pandas,aws,pyspark,apache,flask,sqlalchemy,postgresql,postgis,kubernetes,ci/cd,ux/ui,scala",Senior Python Engineer (Short-Term Position)
Betby,"<div class=""b-typo vacancy-section"">
				<p><em><strong>TECH STACK</strong></em></p><ul><li>Python 3.11</li><li>FAST API</li><li>REST API</li><li>MONGODB</li><li>RABBITMQ</li><li><a href=""http://ASINC.IO"" target=""_blank"">ASINC.IO</a></li><li>aiohttp</li><li>Kafka</li><li><em><strong>#NODJANGO :)</strong></em></li></ul><h3>SHORT DESCRIPTION</h3><p>At Betby, we’re at the forefront of B2B product development, revolutionizing the digital landscape for thousands of websites across the globe. As a Python Developer, you’ll play a pivotal role in shaping our cutting-edge product that will have a widespread impact.</p>

<p>Our tech stack is powered by Python, utilizing the latest advancements such as <a href=""http://Async.io"" target=""_blank"">Async.io</a>, REST API, FAST API, Sanic, MongoDB, and Kafka. You’ll have the opportunity to work with these state-of-the-art modules and contribute to their continuous improvement.</p>

<p>In addition to technical expertise, we value excellent communication skills. Collaboration and effective teamwork are the cornerstones of our success, and we believe in fostering an environment where everyone’s voice is heard and valued.</p><p>To thrive in this role, we’re seeking candidates with a minimum of 5+ years of Software Engineering experience, coupled with a strong background in Python 3 development spanning at least 3+ years. Your proficiency in application monitoring and metrics collection will be highly advantageous in this role.</p><h3>REQUIREMENTS</h3><ul><li>A minimum of 5+ years of professional experience with Python</li><li>Strong expertise in async programming, with a deep understanding of its principles and best practices</li><li>Proficiency in multithreaded programming, able to effectively manage concurrent tasks and optimize performance</li><li>Hands-on experience with relational DBMS, ensuring efficient data storage and retrieval</li><li>Extensive knowledge of NoSQL-storages, particularly MongoDB, to handle complex data structures with ease</li><li>Proven track record in developing high-load services, demonstrating your ability to build robust and scalable solutions</li><li>Strong familiarity with Unix/Linux systems, utilizing their features and tools for optimal development and deployment</li></ul>

<h3>RESPONSIBILITIES</h3><ul><li>Develop Web Services and Components: Leverage your expertise to create robust, efficient, and scalable web services and components. Your contributions will be integral to delivering exceptional user experiences and driving the success of our products.</li><li>Embrace the Newest Technologies: Stay at the forefront of technological advancements by working with the latest tools and frameworks. We are committed to providing an innovative environment where you can explore and implement cutting-edge solutions to shape the future of web services.</li><li>Document Your Work: As a dedicated professional, you understand the importance of clear and comprehensive documentation. Your role will involve documenting the development process, APIs, and system architecture, ensuring that knowledge is shared effectively across the team and beyond.</li></ul>

<h3>PERKS AND BENEFITS</h3><p>Join our dynamic product company and experience a recruiting process like no other — one that is both timesaving and highly efficient.</p>

<p>Why choose us? Here’s what we offer:</p>

<ul><li>Comprehensive health insurance to ensure your well-being</li><li>Enjoy the peace of mind with 100% paid sick leaves</li><li>Fuel your professional growth with access to extra education opportunities</li><li>Recharge and relax with a generous 20 working days of paid vacation and additional days off</li><li>We’ve got your back if you’re ready to relocate — receive full support throughout the process</li><li>Be part of a vibrant international team united by a shared passion for excellence in product development</li><li>Enhance your language skills with language courses tailored to your needs</li><li>Unleash your inner adventurer with fantastic corporate events and team buildings</li><li>Experience optimal productivity and comfort with the best new hardware for your job</li><li>Rest assured with our welfare program, providing financial support in critical situations</li><li>Celebrate life’s milestones with gifts for significant events such as marriage, childbirth, and more</li><li>Join us today and unlock a world of opportunities in a company that truly values its employees</li></ul><h3>YOUR HIRING JORNEY WITH US</h3><ul><li>Engaging <nobr>25-minute</nobr> call with a Recruiter: an exciting first connection to ensure perfect alignment of expectations from both sides</li><li>In-depth <nobr>120-minute</nobr> call with our Python Team Leader and VP of Engineering to delve into your experience, address your queries, and unlock new insights</li><li>30 mins call with our esteemed HR Business Partner</li></ul><h3>ABOUT BETBY</h3><p>Welcome to the world of Betby, where excellence meets innovation in the realm of iGaming. We proudly stand as an award-winning and rapidly expanding company, captivating the industry with our exceptional sports betting software platform. Esteemed by bookmakers worldwide, our bespoke solution boasts unrivaled risk management and comprehensive omni-support. With millions of players, hundreds of sports, and thousands of markets and outcomes, each bet unravels a captivating tale.</p>

<p>Our Team: Fueling Passion, Forging Success.</p>

<p>At Betby, we embody the spirit of sports passion, empowering our team with cutting-edge technologies and unwavering business acumen. Together, we push boundaries, setting new benchmarks in the industry.</p>

<p>Where Innovation Thrives: Our Global Presence.</p>

<p>With our main offices nestled in the vibrant locales of Riga, Latvia, and Silema, Malta, Betby offers not only a stimulating work environment but also exciting opportunities for long-term business trips and seamless relocation.</p>

<p>However, geographical boundaries need not hinder your journey to greatness. We extend our hiring reach across borders, ensuring that a fervent desire to elevate your skills and a computer are the only prerequisites. Rest assured, we provide all the necessary equipment to fuel your success.</p>

<p>Join Betby today and embrace a world of limitless possibilities, where your aspirations take flight, and your potential knows no bounds.</p><h3>WHY JOIN OUR DREAM TEAM?</h3><p>Join our extraordinary Betby family, where we’re not just coworkers, but a tight-knit group of passionate professionals united by our unwavering dedication to crafting the most exceptional B2B gaming betting products. Together, we form a bond built on support, trust, and whole-hearted fun!</p>

<p>Our mission? To revolutionize online gaming, making it effortlessly enjoyable for all. No mountain is too high for us to conquer; Betby fearlessly embraces every challenge that comes our way. We thrive on quick decision-making, agile technologies, stable business practices, and above all, the sheer joy of working as a team.</p>

<p>With a potent blend of boundless creativity, cutting-edge technologies, and an unyielding work ethic, we fearlessly march into the future with our heads held high. This isn’t mere small talk—our achievements speak volumes. Don’t just take our word for it, come and experience it for yourself!</p>

<p>The Betby team eagerly awaits your arrival. Join us today and become a part of something extraordinary. Welcome to Betby, where dreams become reality!</p>

<p><strong><em>Betby family is waiting for you :)</em></strong></p><h3>TAGS</h3><p>#level Senior</p><p>#relocation no</p>
			</div>",5plus,віддалено,5000–6500,"python,fast api,rest api,mongodb,rabbitmq,async,aiohttp,kafka,django,sanic,nosql,linux,git,scala,agile",Senior Python Developer
